Date,HMM state 0,HMM state 1,Reference stress,Market phase,Window
2021-08-03,0.9998827627337586,0.00011723726624135434,0,Bull,fixed holdout
2021-08-04,0.9998769720161634,0.00012302798383647306,0,Bull,fixed holdout
2021-08-05,0.9998658434309075,0.0001341565690925655,0,Bull,fixed holdout
2021-08-06,0.9995175591666794,0.00048244083332057145,0,Bull,fixed holdout
2021-08-09,0.9997020859516318,0.0002979140483682268,0,Bull,fixed holdout
2021-08-10,0.9998590209897704,0.00014097901022961217,0,Bull,fixed holdout
2021-08-11,0.9997964365768692,0.0002035634231307875,0,Bull,fixed holdout
2021-08-12,0.9998830678160593,0.00011693218394066959,0,Bull,fixed holdout
2021-08-13,0.9998513500722195,0.00014864992778062738,0,Bull,fixed holdout
2021-08-16,0.9999027384301575,9.726156984243377e-05,0,Bull,fixed holdout
2021-08-17,0.9996377098234266,0.00036229017657337395,0,Bull,fixed holdout
2021-08-18,0.9997712434027013,0.0002287565972986137,0,Bull,fixed holdout
2021-08-19,0.9998600985885824,0.00013990141141758514,0,Bull,fixed holdout
2021-08-20,0.99988518949965,0.0001148105003499877,0,Bull,fixed holdout
2021-08-23,0.9967955273979465,0.0032044726020535254,0,Bull,fixed holdout
2021-08-24,0.9993704715965005,0.0006295284034995384,0,Bull,fixed holdout
2021-08-25,0.9997047945256777,0.000295205474322241,0,Bull,fixed holdout
2021-08-26,0.9996317387022594,0.00036826129774060907,0,Bull,fixed holdout
2021-08-27,0.9928738135298525,0.007126186470147464,0,Bull,fixed holdout
2021-08-30,0.9990031259103594,0.0009968740896405838,0,Bull,fixed holdout
2021-08-31,0.9995800737659645,0.00041992623403556853,0,Bull,fixed holdout
2021-09-01,0.9996015686634119,0.00039843133658811527,0,Bull,fixed holdout
2021-09-02,0.9997525998096749,0.0002474001903250731,0,Bull,fixed holdout
2021-09-03,0.9998355610195192,0.0001644389804808076,0,Bull,fixed holdout
2021-09-07,0.9994437515076184,0.0005562484923815408,0,Bull,fixed holdout
2021-09-08,0.9997712633128919,0.00022873668710806137,0,Bull,fixed holdout
2021-09-09,0.999831462663441,0.00016853733655893685,0,Bull,fixed holdout
2021-09-10,0.9997277245206361,0.0002722754793639231,0,Bull,fixed holdout
2021-09-13,0.9997575446921084,0.00024245530789158783,0,Bull,fixed holdout
2021-09-14,0.9998599351132813,0.00014006488671870402,0,Bull,fixed holdout
2021-09-15,0.9998575068163014,0.00014249318369863548,0,Bull,fixed holdout
2021-09-16,0.9997855182174851,0.00021448178251498297,0,Bull,fixed holdout
2021-09-17,0.999626226839656,0.00037377316034409986,0,Bull,fixed holdout
2021-09-20,0.998228924671841,0.001771075328159058,0,Bull,fixed holdout
