Method,Metric,Policy seeds,Mean,Median,Standard deviation,10th percentile,90th percentile,Minimum,Maximum
GLASSO-GAT,Maximum drawdown,5,-0.2391595451957146,-0.2410430131986273,0.013837497674704519,-0.2529613304166908,-0.22543584940087522,-0.25815298413890875,-0.22432348938903013
GLASSO-GAT,Daily CVaR 95%,5,-0.01709121447671114,-0.01726322559534202,0.0003711904503457025,-0.017385913121083865,-0.016677068059978203,-0.01739521411435466,-0.01653399821452831
GLASSO-GAT,Final wealth,5,1.9262469930629613,1.9017842185123979,0.10903984633022505,1.8334379938266177,2.0409497490676687,1.8150614476545945,2.097975773212018
GLASSO-GAT,Mean turnover,5,0.11636407381554092,0.11826160826655029,0.030366712016340548,0.08757912927585776,0.14232536966103193,0.06913521758703572,0.153269755475104
GLASSO-GAT,Total transaction cost,5,0.2606636430572711,0.2652652716189168,0.06565869033200664,0.19828713534017708,0.3166720731291138,0.15841775820645937,0.34027239680511834
GLASSO-GAT,Mean HHI,5,0.08875355204912723,0.08922490944625946,0.0042976003319751795,0.08470011126022968,0.09238637076655941,0.08217307178174552,0.09417363675344657
GLASSO-GAT,Mean cash weight,5,0.06953159907588487,0.06891272547222499,0.003563530718066454,0.06648016847422156,0.07305846594762253,0.06519551474611276,0.07500711754870903
TC-MAC,Annualised return,5,0.070964653002128,0.06962424414464685,0.0052132371314793265,0.0665820758744903,0.07658337609495383,0.06635244860310618,0.07907676951212816
TC-MAC,Annualised volatility,5,0.12088487013640119,0.12076505945105304,0.0010653000863664092,0.11998931009970236,0.12198611440922101,0.1199721724712516,0.12258636761145941
TC-MAC,Sharpe ratio,5,0.5672613242286983,0.5558657534711894,0.043234254092450346,0.5303556143415541,0.6135073070523358,0.524070494604762,0.6343623770200818
TC-MAC,Sortino ratio,5,0.5208910292347825,0.5104035163287404,0.0433997584348839,0.48208254624653935,0.5675467347064097,0.47511282689017237,0.5849303181842294
TC-MAC,Maximum drawdown,5,-0.25384314334365604,-0.24990450897701078,0.011072447625957865,-0.2645998994501588,-0.24699459989797923,-0.2733181123303211,-0.24603196892782986
TC-MAC,Daily CVaR 95%,5,-0.01746482783643562,-0.017411467614469777,0.00014473637343275476,-0.017616466293143625,-0.017353256541959242,-0.01770098646714735,-0.017322284572950344
TC-MAC,Final wealth,5,1.6808460401713614,1.664202746316379,0.06255994921271615,1.6287197439202143,1.7482603383974127,1.6260652688581125,1.7787802336491676
TC-MAC,Mean turnover,5,0.10577939845165665,0.10589051732506122,0.003101995029960652,0.10278768741582121,0.10896491393869125,0.10262354839467645,0.11012650851144182
TC-MAC,Total transaction cost,5,0.23844335109671774,0.2388177783884371,0.006989725763008172,0.2316519771897316,0.2455733561968254,0.23108000318519223,0.24824870955728967
TC-MAC,Mean HHI,5,0.087709445273293,0.08792120609941592,0.0016949610248247844,0.08592162314291993,0.08928792954469618,0.08525128847269536,0.0895444344312872
TC-MAC,Mean cash weight,5,0.061099730511950036,0.05609079868287766,0.008490284870250069,0.05456527536037756,0.07064572033803249,0.05379970840089669,0.0734395623374085
JM-MPC,Annualised return,5,0.10917587312394916,0.10917587312394916,0.0,0.10917587312394916,0.10917587312394916,0.10917587312394916,0.10917587312394916
