Method,Annualised return,Annualised volatility,Sharpe ratio,Daily Sharpe ratio,Sortino ratio,Maximum drawdown,Calmar ratio,Daily VaR 95%,Daily CVaR 95%,Skewness,Excess kurtosis,Final wealth,Mean turnover,Total transaction cost,Mean HHI,Mean cash weight,Probabilistic Sharpe probability vs zero,Deflated Sharpe probability,Deflated Sharpe benchmark,DSR effective trials,Policy seed
1/N,0.10480560921389448,0.11927741401229298,0.8356100025809712,0.052638482377792624,0.7711785684909261,-0.22133417988570858,0.4735175076348961,-0.01080507703210799,-0.01781480960053653,-0.9131688152362422,13.588383759744596,2.1260041482358183,0.0030384808350539453,0.010852006202927998,0.08333333333333334,0.0,0.9872349509451491,0.9309656070774398,0.28072030551216204,9.0,401
GMV,0.04490991905702302,0.04120484862480679,1.0661531666306048,0.0671613366287759,1.0166003662303251,-0.1000402531592276,0.4489184866969779,-0.004086370285077459,-0.005867860579563099,-0.27472705763002414,4.483236817329787,1.394371360989643,0.001962731287015105,0.007598135958793766,0.2884772703705104,0.5,0.9981045665040833,0.9835287919362198,0.28072030551216204,9.0,401
HMM-GMV,0.04241237617638127,0.05955857571352398,0.6974246618775498,0.04393362413169776,0.6656499442880531,-0.16738241985901114,0.25338608566004656,-0.006143187555766556,-0.008761588611080841,-0.21974592361199,1.9992657505024178,1.3693474157236967,0.0207123123366009,0.04988864576509975,0.22357073103060396,0.09837594290525231,0.9717416395216413,0.8727383945245468,0.28072030551216204,9.0,401
GLASSO-GAT,0.08553954359072291,0.11430374240528342,0.718061691277697,0.0452336347886482,0.6734179400803004,-0.2410430131986273,0.3548725285815919,-0.010581464566515908,-0.01653399821452831,-0.7228943532084674,16.020980144859152,1.8610028130846523,0.153269755475104,0.34027239680511834,0.09417363675344657,0.06840714906638475,0.9734844410833068,0.8806664949854234,0.28072030551216204,9.0,401
TC-MAC,0.07907676951212816,0.1199721724712516,0.6343623770200818,0.03996107358787932,0.5849303181842294,-0.24843854635320328,0.31829509016569957,-0.010502340295551098,-0.017322284572950344,-1.0798418769773253,30.04918950635993,1.7787802336491676,0.11012650851144182,0.24824870955728967,0.0895444344312872,0.05379970840089669,0.9552239700126663,0.828044051977306,0.28072030551216204,9.0,401
JM-MPC,0.10917587312394916,0.1204060649415344,0.8605653126528966,0.05421051914781215,0.7904975414207467,-0.21589937746530674,0.5056794253216077,-0.011300213267973806,-0.018231854979276006,-0.7271568015498572,10.11553468445037,2.1904777631236083,5.44862758611867e-11,4.482414723395991e-07,0.0854622099679799,0.0377401070062255,0.9895979638075479,0.9403232171420426,0.28072030551216204,9.0,401
X-GAT-DRL (Hybrid),0.0789912017373493,0.07943237424898748,0.9571227458827669,0.06029306570878742,0.8809943669113844,-0.14343703911011418,0.5507029580881763,-0.007723888136803138,-0.011991828867804775,-0.7458771155197649,5.736010662919872,1.7777131038248404,0.020225687982916293,0.051253403251103925,0.1567172539157415,0.29636769596613444,0.994861657001704,0.9637655194285819,0.28725007809261666,9.0,503
X-GAT-DRL (GRU),0.08233172819571988,0.07681838475990571,1.0299321140939908,0.06487962478980241,0.9507301000945688,-0.1351360544304181,0.6092506440471274,-0.007783417340773959,-0.011687684846314291,-0.6201544944109653,2.811124117362909,1.819788375684275,0.01820917548803723,0.04648284458526811,0.16099919873792332,0.28064101245009654,0.9972010186502357,0.9771288203040043,0.28725007809261666,9.0,503
X-GAT-DRL (LSTM),0.08051222596611218,0.0732263010792045,1.0574781309457586,0.06661486074694938,0.9821443149693793,-0.13092241806952476,0.6149613423986497,-0.007235286542843608,-0.01088833118490599,-0.47987346786333324,3.820295696663427,1.7967651226393069,0.015921027071521706,0.04111722681501454,0.15509775976903736,0.2681963625441915,0.99784098572906,0.9811778434338767,0.28725007809261666,9.0,503
1/N,0.10480560921389448,0.11927741401229298,0.8356100025809712,0.052638482377792624,0.7711785684909261,-0.22133417988570858,0.4735175076348961,-0.01080507703210799,-0.01781480960053653,-0.9131688152362422,13.588383759744596,2.1260041482358183,0.0030384808350539453,0.010852006202927998,0.08333333333333334,0.0,0.9872349509451491,0.9286171878675595,0.28725007809261666,9.0,503
GMV,0.04490991905702302,0.04120484862480679,1.0661531666306048,0.0671613366287759,1.0166003662303251,-0.1000402531592276,0.4489184866969779,-0.004086370285077459,-0.005867860579563099,-0.27472705763002414,4.483236817329787,1.394371360989643,0.001962731287015105,0.007598135958793766,0.2884772703705104,0.5,0.9981045665040833,0.9827872973429238,0.28725007809261666,9.0,503
HMM-GMV,0.04241237617638127,0.05955857571352398,0.6974246618775498,0.04393362413169776,0.6656499442880531,-0.16738241985901114,0.25338608566004656,-0.006143187555766556,-0.008761588611080841,-0.21974592361199,1.9992657505024178,1.3693474157236967,0.0207123123366009,0.04988864576509975,0.22357073103060396,0.09837594290525231,0.9717416395216413,0.8689787465714074,0.28725007809261666,9.0,503
GLASSO-GAT,0.08195980063185382,0.11758241144386339,0.6699473665420593,0.04220271722316484,0.6171751584834152,-0.25815298413890875,0.3174853891588265,-0.010361073002267693,-0.01739521411435466,-1.0661960379908715,24.240413197531637,1.8150614476545945,0.12590879093992385,0.28127158761510695,0.08922490944625946,0.07500711754870903,0.963463926427134,0.8470516174736206,0.28725007809261666,9.0,503
TC-MAC,0.06692651678156647,0.12001501654237852,0.5397832939467422,0.034003151372627535,0.49253712528108984,-0.24990450897701078,0.26780836030342764,-0.010415894321477425,-0.017411467614469777,-1.3099618014015681,31.006309682626338,1.6327014565133668,0.10303389594753835,0.23250993819654067,0.08890317221480964,0.05571362579959886,0.9258996471689007,0.7506257197476836,0.28725007809261666,9.0,503
JM-MPC,0.10917587312394916,0.1204060649415344,0.8605653126528966,0.05421051914781215,0.7904975414207467,-0.21589937746530674,0.5056794253216077,-0.011300213267973806,-0.018231854979276006,-0.7271568015498572,10.11553468445037,2.1904777631236083,5.44862758611867e-11,4.482414723395991e-07,0.0854622099679799,0.0377401070062255,0.9895979638075479,0.9382141373442494,0.28725007809261666,9.0,503
