Phase,Start,End,Trading days,Benchmark cumulative return,Minimum drawdown,Mean annualised volatility,Mean VIX,Mean high-yield spread
Sideways,2016-06-24,2016-06-27,2,-0.05317603228388831,-0.055243709504656735,0.15574880704578903,24.805,
Bull,2016-06-28,2018-02-07,407,0.38210812189989196,-0.07903521922763934,0.08025026511324737,12.107936117936116,
Sideways,2018-02-08,2018-02-08,1,-0.0375088318583644,-0.10101854170572233,0.23987311281485094,33.46,
Bull,2018-02-09,2018-07-20,112,0.09482998527448146,-0.0979786066152476,0.1578845077110786,16.385535714285716,
Sideways,2018-07-23,2018-07-23,1,0.0018591102533720427,-0.01393834771707081,0.09402383463863052,12.62,
Bull,2018-07-24,2018-07-26,3,0.011206109741798843,-0.00897606594687439,0.086405345414579,12.280000000000001,
Sideways,2018-07-27,2018-07-30,2,-0.011964376387270478,-0.014818250721531867,0.08196348729232367,13.645,
Bull,2018-07-31,2018-10-10,51,-0.0013932037684409836,-0.047755620166051393,0.06961869748115847,13.059019607843142,
Sideways,2018-10-11,2018-10-11,1,-0.022026636214381834,-0.06873036070784344,0.14542632880167697,24.98,
Bull,2018-10-12,2018-10-22,7,0.010434555130587216,-0.06110035921911994,0.16894738160776418,19.602857142857143,
Sideways,2018-10-23,2018-11-05,10,-0.005891153649736496,-0.09716439264542409,0.21893422957961156,22.241,
Bull,2018-11-06,2018-11-09,4,0.015984787222813355,-0.05863674488961612,0.23285288500862716,17.5875,
Sideways,2018-11-12,2018-11-16,5,-0.014509123800845788,-0.07547158956691313,0.2105194183455595,19.968,
Bear,2018-11-19,2018-11-21,3,-0.031819550738349474,-0.09627491557247059,0.2165498121769466,21.126666666666665,
Sideways,2018-11-23,2018-11-27,3,0.012753922741442261,-0.09925183425294493,0.18871215177409859,19.813333333333333,
Bull,2018-11-28,2018-11-28,1,0.023025046820923434,-0.060484617071666746,0.19515858040406633,18.49,
Sideways,2018-11-29,2018-11-29,1,-0.002184963137299434,-0.0625374235502909,0.18988709925179123,18.79,
Bull,2018-11-30,2018-12-03,2,0.0194172361926733,-0.05682350783646206,0.18858913911855485,17.255000000000003,
Bear,2018-12-04,2019-01-25,35,-0.04284965228051859,-0.19348926498855745,0.26183445288774665,22.755999999999997,
Sideways,2019-01-28,2019-04-05,49,0.09052992212582693,-0.09344105758542187,0.11255634496486855,14.954693877551023,
Bull,2019-04-08,2019-05-30,37,-0.03305952333732817,-0.05360030061079768,0.10445756018997103,14.978378378378377,
Sideways,2019-05-31,2019-06-03,2,-0.015983766093864146,-0.06618381500099157,0.1496968256162503,18.785,
Bull,2019-06-04,2020-02-26,185,0.1509142964231566,-0.07932830794946488,0.11639787342193561,15.139675675675676,
Sideways,2020-02-27,2020-02-28,2,-0.048924403023229944,-0.12437162086342424,0.24692977016581574,39.635,
Bull,2020-03-02,2020-03-02,1,0.04330643881742491,-0.08645127403554531,0.2950681965022437,33.42,
Sideways,2020-03-03,2020-03-03,1,-0.028632578525419894,-0.11260852966851975,0.30437971912062517,36.82,
Bull,2020-03-04,2020-03-04,1,0.042032983238748274,-0.07530881886986851,0.33975649663664964,31.99,
Sideways,2020-03-05,2020-03-06,2,-0.04922293460395601,-0.12082483240749187,0.3502805969983779,40.78,
Bear,2020-03-09,2020-05-22,54,-0.0009508443414470109,-0.33717239729176285,0.5814871093711153,45.61407407407408,
Sideways,2020-05-26,2020-06-02,6,0.04278388024181737,-0.11083874724142528,0.2241191732513722,27.8,
Bull,2020-06-03,2020-06-10,6,0.0354452531528301,-0.07433076298452312,0.201242949917139,26.156666666666666,
Sideways,2020-06-11,2020-07-24,31,0.010319974724889021,-0.10629045093284406,0.2531011702374637,30.31000000000001,
Bull,2020-07-27,2020-07-27,1,0.007292544490160147,-0.03484230085766915,0.16387596402012855,24.74,
Sideways,2020-07-28,2020-07-28,1,-0.0063423410344471964,-0.04096366013765218,0.13722060633525965,25.44,
Bull,2020-07-29,2020-07-29,1,0.012298653097522871,-0.02916880488576712,0.1349800880890072,24.1,
Sideways,2020-07-30,2020-07-30,1,-0.0035678360255015917,-0.0326325713983765,0.13215255533041512,24.76,
Bull,2020-07-31,2022-01-20,372,0.4089846700869558,-0.09440429610961065,0.13713958238133728,21.3377688172043,
Sideways,2022-01-21,2022-01-21,1,-0.01963052262949605,-0.0831674222399531,0.15302453166326965,28.85,
Bull,2022-01-24,2022-01-24,1,0.004246502729820634,-0.07927409019570664,0.14830487001220552,29.9,
Sideways,2022-01-25,2022-01-27,3,-0.01955238054084173,-0.09727647355801283,0.13767924134322265,31.203333333333333,
Bull,2022-01-28,2022-02-10,10,0.04192558834760093,-0.07485708924002621,0.19247668571731003,23.228,
Bear,2022-02-11,2022-02-14,2,-0.02292352837401094,-0.08099045867503407,0.21662186036491926,27.845,
Bull,2022-02-15,2022-02-16,2,0.017265590820014408,-0.06616987485446857,0.2205663138472136,24.994999999999997,
Sideways,2022-02-17,2022-02-17,1,-0.021361425001345302,-0.08509351628228068,0.22616758394455724,28.11,
Bear,2022-02-18,2022-03-17,19,0.009175056059356586,-0.12865532849581762,0.23748543259530644,30.584736842105265,
Bull,2022-03-18,2022-04-08,16,0.017889068582325456,-0.06809841309241516,0.22854254836893356,21.178125,
Sideways,2022-04-11,2022-04-25,10,-0.042585289996028314,-0.10539133880271889,0.17711984545289167,23.492,
Bear,2022-04-26,2022-07-25,62,-0.072883397957018,-0.23009976663363385,0.2875836123041297,28.108870967741936,
Sideways,2022-07-26,2022-07-26,1,-0.011830910901845293,-0.17565429079898853,0.18136145689888758,24.69,
Bear,2022-07-27,2022-07-27,1,0.025966429465638985,-0.1542489760857183,0.20098116422137288,23.24,
Sideways,2022-07-28,2022-08-25,21,0.046055053619390454,-0.14364137078094497,0.18413162695787386,21.414761904761907,
Bear,2022-08-26,2022-08-26,1,-0.03384892578808485,-0.14524408416397516,0.20520077232864847,25.56,
Sideways,2022-08-29,2022-08-29,1,-0.006612174187944686,-0.150895879167659,0.19926791590769863,26.21,
Bear,2022-08-30,2022-08-31,2,-0.018503531950916363,-0.16660730439713511,0.20234295679782635,26.04,
Sideways,2022-09-01,2022-09-06,3,-0.011184575682425724,-0.1759284480742861,0.1951278855802727,25.98,
Bear,2022-09-07,2022-11-09,46,-0.038625055015166866,-0.2449638707150874,0.25847680967184583,28.3741304347826,
Sideways,2022-11-10,2022-11-11,2,0.06516440324189,-0.1642213621067663,0.3065212941642027,23.025,
Bear,2022-11-14,2022-11-15,2,-5.0285076153827924e-05,-0.16331083134425595,0.2848165477535902,24.134999999999998,
Sideways,2022-11-16,2022-11-25,7,0.009636311995565066,-0.16517432682100042,0.27150842738830566,22.237142857142857,
Bear,2022-11-28,2022-11-29,2,-0.01764720648854128,-0.16307802171151808,0.26300499018305057,22.05,
Sideways,2022-11-30,2022-12-02,3,0.029552440598489625,-0.13834493466257747,0.2687604679823571,19.826666666666668,
Bear,2022-12-05,2022-12-08,4,-0.02622187590836144,-0.16746127918878773,0.26517949043401523,21.972499999999997,
Sideways,2022-12-09,2022-12-21,9,-0.02078645539334725,-0.1915907178140852,0.20079642242392623,22.326666666666668,
Bear,2022-12-22,2022-12-23,2,-0.008595994694850635,-0.19010159163302953,0.20651467775578378,21.42,
Sideways,2022-12-27,2022-12-27,1,-0.003943429198896675,-0.18865503519234328,0.20634492817794547,21.65,
Bear,2022-12-28,2022-12-28,1,-0.01242791387363218,-0.19873836053677796,0.20369256247354203,22.14,
Sideways,2022-12-29,2023-05-31,105,0.113589682754881,-0.192952338457001,0.15786400573198903,19.551238095238098,
Bull,2023-06-01,2023-10-24,101,0.021188101785555077,-0.09924568049529181,0.11008940761987325,15.422970297029703,4.021785714285714
Sideways,2023-10-25,2023-10-31,5,-0.012817611615936133,-0.11667150526873526,0.1362808796844601,20.006,4.464
Bull,2023-11-01,2025-03-07,337,0.40045983806411783,-0.09090398031825053,0.12170548244844674,15.603768545994063,3.1744510385756675
Sideways,2025-03-10,2025-03-21,10,-0.017786149691982077,-0.10035411963496799,0.18999926758867342,22.663000000000004,3.221
Bull,2025-03-24,2025-03-25,2,0.020355470071653437,-0.06056648000342746,0.20796190148282198,17.314999999999998,3.07
Sideways,2025-03-26,2025-03-26,1,-0.01193812074974343,-0.0695502793061269,0.2109446035699015,18.33,3.19
